APN,PROJECT NUMBER,NAME,DEVELOPMENT STAGE,CONSTRUCTION TYPE,SITE ADDRESS,SITE  COUNCIL DISTRICT,SITE #,SITE COMMUNITY,SITE UNITS,PROJECT TOTAL UNITS,HOUSING TYPE,SUPPORTIVE HOUSING,SH UNITS PER SITE,DATE FUNDED,LAHD FUNDED,LEVERAGE,TAX EXEMPT CONDUIT BOND,TDC,IN-SERVICE DATE,DEVELOPER,MANAGEMENT COMPANY,CONTACT PHONE,PHOTO,JOBS,PROJECT SUMMARY URL,CONTRACT NUMBERS,DATE STAMP,SITE LONGITUDE,SITE LATITUDE,GPS_COORDS ON MAP
5682018046,19-125949,COLORADO EAST,In-Service,NEW CONSTRUCTION,"2451 W COLORADO BLVD  Los Angeles, CA 90041",14,1,EAGLE ROCK,41,41,SPECIAL NEEDS,Yes,40,08/28/2020,8800000,18883827,0,27683827,2023,RCC MGP LLC,"DDCM, INC.",(323) 256-6060,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),195,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=19-125949&LutSiteCD=1),C-136559,2024-08-05T00:00:00.000,-118.22027,34.1411,POINT (-118.22027 34.1411)
5147024024,18-125043,WEINGART TOWER A-134 (FKAWEINGART TOWER HHH PSH1A),In-Service,NEW CONSTRUCTION,"555 S CROCKER ST  LOS ANGELES, CA 90013",14,1,WHOLESALE DISTRICT,134,134,SPECIAL NEEDS,Yes,133,09/02/2021,16000000,31268028,33981980,81250008,2024,Chelsea Investment Corporation,"CIC MANAGEMENT, INC. (ASSET MANAGEMENT)",(760) 456-6000,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),703,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=18-125043&LutSiteCD=1),"C-138869,C-138871",2024-08-05T00:00:00.000,-118.244,34.04229,POINT (-118.244 34.04229)
5128015021,09-117212,THE CROSSING ON 29TH ST.,In-Service,NEW CONSTRUCTION,"814 E 29TH ST  Los Angeles, CA 90011",9,1,CENTRAL,34,34,FAMILY,No,0,08/30/2010,3262880,17610140,0,20873020,2012,"UHC LA 29, L.P.",HYDER PROPERTY MANAGEMENT PROFESSIONALS,(760) 591-9737,click here (http://hcidapp.lacity.org/mpphotos/09-117212/Photo/Website/crossingat29thgo12612_031-.png),121,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=09-117212&LutSiteCD=1),C-117803,2024-08-05T00:00:00.000,-118.26081,34.01762,POINT (-118.26081 34.01762)
5154026023,111,HISTORIC BARBIZON HOTEL APTS.,In-Service,REHAB,"1927 W 6TH ST 1-51  Los Angeles, CA 90057",1,1,WESTLAKE,51,51,FAMILY,No,0,06/27/2007,5009394,13935814,0,18945208,2007,"NEIGHBORHOOD EFFORT,",THE EBERLY COMPANY,(323) 937-6468,click here (http://hcidapp.lacity.org/mpphotos/000111/Photo/Website/CD_1_-_Barbizon_Hotel.png),47,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=000111&LutSiteCD=1),C-101408,2024-08-05T00:00:00.000,-118.27323,34.05898,POINT (-118.27323 34.05898)
6040019003,21-127748,MANCHESTER URBAN HOMES,Development,ACQUISITION + NEW CONSTRUCTION,8721 S BROADWAY CA 90003,8,1,VERMONT VISTA,122,122,FAMILY,No,0,06/30/2023,9300000,71142238,3200000,83642238,Development,Abode Communities,N/A,N/A,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=21-127748&LutSiteCD=1),"C-143660,C-143661",2024-08-05T00:00:00.000,-118.27843,33.95809,POINT (-118.27843 33.95809)
5131020009,05-117217,LEXINGTON APARTMENTS A/B (SITE 11),In-Service,REHAB,"1145 E 24TH ST  Los Angeles, CA 90011",9,11,CENTRAL,0,251,FAMILY,No,0,12/28/2005,0,6771719,10247566,17019285,2006,"1755 EFM 2, LLC","ALPHA PROPERTY MANAGEMENT, INC.",(323) 231-4174,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=05-117217&LutSiteCD=11),,2024-08-05T00:00:00.000,-118.25561,34.02133,POINT (-118.25561 34.02133)
5547016909,18-125463,HOLLYWOOD ARTS COLLECTIVE,In-Service,NEW CONSTRUCTION,"1630 N SCHRADER BLVD  HOLLYWOOD, CA 90028",13,1,HOLLYWOOD,152,152,FAMILY,No,0,12/01/2020,5850460,85191665,0,91042125,2023,"Thomas Safran & Associates Development, Inc.","THOMAS SAFRAN & ASSOCIATES, INC.",(310) 820-4888,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=18-125463&LutSiteCD=1),C-137458,2024-08-05T00:00:00.000,-118.33236,34.10084,POINT (-118.33236 34.10084)
5072034028,14-121637,ARLINGTON SQUARE,In-Service,NEW CONSTRUCTION,"3101 W VENICE BLVD  Los Angeles, CA 90019",10,1,VICTORIA PARK,48,48,SPECIAL NEEDS,Yes,47,12/01/2015,3877600,14111118,0,17988718,2017,A COMMUNITY OF FRIENDS,BARKER MANAGEMENT INC.,(714) 533-3450,click here (http://hcidapp.lacity.org/mpphotos/14-121637/Photo/Website/150_2872.png),143,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=14-121637&LutSiteCD=1),C-126699,2024-08-05T00:00:00.000,-118.31795,34.04375,POINT (-118.31795 34.04375)
7417010900,16-123033,VISTA DEL MAR,In-Service,NEW CONSTRUCTION,"1116 W D ST  Wilmington, CA 90744",15,1,WILMINGTON,88,88,FAMILY,No,0,08/29/2016,0,18205813,18068000,36273813,2018,Abode Communities,ABODE COMMUNITIES,(213) 629-2702,click here (http://hcidapp.lacity.org/mpphotos/16-123033/Photo/Website/Lot%208.JPG),405,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=16-123033&LutSiteCD=1),,2024-08-05T00:00:00.000,-118.27458,33.77336,POINT (-118.27458 33.77336)
5131026028,70018,ADAMS AND CENTRAL MIX-USE,In-Service,NEW CONSTRUCTION,"1011 E ADAMS BLVD 1-80  Los Angeles, CA 90011",9,1,CENTRAL,80,80,FAMILY,No,0,06/17/2008,5788800,25260320,0,31049120,2010,"META HOUSING CORPORATION,",META HOUSING CORPORATION,(310) 575-3543,click here (http://hcidapp.lacity.org/mpphotos/070018/Photo/Website/CD%209%20-%20Adams%20&%20Central%20Mixed.jpg),281,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=070018&LutSiteCD=1),C-113833,2024-08-05T00:00:00.000,-118.25579,34.01932,POINT (-118.25579 34.01932)
5110026033,19-126524,HOPE ON BROADWAY,In-Service,NEW CONSTRUCTION,"5138 S BROADWAY  Los Angeles, CA 90037",9,1,SOUTH PARK,49,49,SPECIAL NEEDS,Yes,48,01/29/2021,6720000,9214343,9373630,25307973,2022,"Hope Street Development Group, LLC",MCM PROPERTY MANAGEMENT INC,(323) 951-0400,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),219,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=19-126524&LutSiteCD=1),C-137846,2024-08-05T00:00:00.000,-118.27811,33.99588,POINT (-118.27811 33.99588)
2565013903,22-130916,10150 HILLHAVEN,In-Service,ACQUISITION ONLY,"10150 N HILLHAVEN AVE  TUJUNGA, CA 91042",7,1,TUJUNGA,34,34,SPECIAL NEEDS,Yes,33,02/16/2024,3850000,0,0,3850000,2022,Housing Authority of the City of Los Angeles (HACLA),N/A,N/A,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=22-130916&LutSiteCD=1),"C-145056,C-145057",2024-08-05T00:00:00.000,-118.28968,34.2538,POINT (-118.28968 34.2538)
5067008008,06-117222,WINDWARD APTS (A/B) (SITE 4),In-Service,REHAB,"4817 W SATURN ST  Los Angeles, CA 90019",10,4,ST ELMO VILLAGE,6,232,FAMILY,No,0,04/01/2006,0,7438473,4641342,12079815,2007,1755 EFM 2,"ALPHA PROPERTY MANAGEMENT, INC.",(323) 231-4174,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=06-117222&LutSiteCD=4),,2024-08-05T00:00:00.000,-118.34233,34.04433,POINT (-118.34233 34.04433)
5056012007,80053,PROFESSIONAL HSG. & DEV. APTS. (PH & D) (SITE 5),In-Service,REHAB,"1810 S MAGNOLIA AVE  Los Angeles, CA 90006",1,5,PICO-UNION,0,83,FAMILY,No,0,10/07/2010,4575000,10250907,0,14825907,2011,Gubb and Barshay,LITTLE TOKYO SERVICE CENTER,(213) 434-1645,click here (http://hcidapp.lacity.org/mpphotos/080053/Photo/Website%20Site5/PH&D%201810%20Magnolia.jpg),45,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=080053&LutSiteCD=5),C-117961,2024-08-05T00:00:00.000,-118.28624,34.04104,POINT (-118.28624 34.04104)
5115018900,11-117837,DUNBAR VILLAGE (SITE 3),In-Service,ACQUISITION + REHAB,"4251 S CENTRAL AVE  Los Angeles, CA 90011",9,3,VERNON CENTRAL,18,83,FAMILY,No,0,07/06/2011,12019660,17563532,0,29583192,2013,THOMAS SAFRAN & ASSOCIATES,THOMAS SAFRAN & ASSOCIATES,(310) 820-4888,click here (http://hcidapp.lacity.org/mpphotos/11-117837/Photo/Website%20Site3/Dunbar2[1].jpg),215,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=11-117837&LutSiteCD=3),"C-119063,C-123799",2024-08-05T00:00:00.000,-118.2567,34.00652,POINT (-118.2567 34.00652)
2218023009,12-119044,HAZELTINE & WYANDOTTE (SITE 2),In-Service,ACQUISITION + REHAB,"14630 W WYANDOTTE ST  VAN NUYS, CA 91405",6,2,VAN NUYS,73,108,FAMILY,No,0,12/02/2013,0,8271924,10381000,18652924,2014,"INSITE DEVELOPMENT, LLC",IRONWOOD COMPANY,(818) 789-5550,click here (http://hcidapp.lacity.org/mpphotos/12-119044/Photo/Website%20Site2/150_1643.png),41,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=12-119044&LutSiteCD=2),,2024-08-05T00:00:00.000,-118.45203,34.20289,POINT (-118.45203 34.20289)
5110027025,10113,BROADWAY VILLAGE II,In-Service,NEW CONSTRUCTION,"5101 S BROADWAY 1-50  Los Angeles, CA 90037",9,1,SOUTH PARK,50,50,FAMILY,No,0,09/22/2003,1987378,10017311,0,12004689,2007,"BEYOND SHELTER HOUSING,","WNC & ASSOCIATES, INC.",(213) 251-2111,click here (http://hcidapp.lacity.org/mpphotos/010113/Photo/Website/CD_9_-_Broadway_Village_II_-_010113[1].png),53,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=010113&LutSiteCD=1),C-105686,2024-08-05T00:00:00.000,-118.27863,33.99634,POINT (-118.27863 33.99634)
5153024008,18-124748,HARTFORD VILLA APARTMENTS (SITE 2),In-Service,NEW CONSTRUCTION,"459 S HARTFORD AVE 1-60  LOS ANGELES, CA 90017",1,2,WESTLAKE,0,101,SPECIAL NEEDS,Yes,0,11/08/2018,15637664,32502500,0,48140164,2021,Single Room Occupancy Housing Corporation,SINGLE ROOM OCCUPANCY HOUSING CORPORATION,(213) 229-9640,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),404,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=18-124748&LutSiteCD=2),"C-132337,C-132338",2024-08-05T00:00:00.000,-118.26381,34.05708,POINT (-118.26381 34.05708)
5051015008,06-117222,WINDWARD APTS (A/B) (SITE 9),In-Service,REHAB,"3922 W 27TH ST  Los Angeles, CA 90018",10,9,WEST ADAMS,10,232,FAMILY,No,0,04/01/2006,0,7438473,4641342,12079815,2007,1755 EFM 2,"ALPHA PROPERTY MANAGEMENT, INC.",(323) 231-4174,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=06-117222&LutSiteCD=9),,2024-08-05T00:00:00.000,-118.32808,34.03144,POINT (-118.32808 34.03144)
5502018025,10-117548,NORMANDIE TERRACE APARTMENT HOMES,In-Service,NEW CONSTRUCTION,"540 S NORMANDIE AVE 1-66  Los Angeles, CA 90020",10,1,KOREATOWN,66,66,FAMILY,No,0,04/08/2011,3200000,25449746,0,28649746,2012,"AMERICAN COMMUNITIES, LLC",THE JOHN STEWART COMPANY,(213) 787-2722,click here (http://hcidapp.lacity.org/mpphotos/10-117548/Photo/Website/10-117548.JPG),196,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=10-117548&LutSiteCD=1),C-118711,2024-08-05T00:00:00.000,-118.30015,34.06411,POINT (-118.30015 34.06411)
5504022026,15-122419,HANCOCK GARDENS,In-Service,ACQUISITION + REHAB,"303 S VAN NESS AVE  Los Angeles, CA 90020",13,1,HANCOCK PARK,66,66,SENIORS,No,0,04/08/2016,0,26719608,0,26719608,2017,"THOMAS SAFRAN & ASSOCIATES, Inc",THOMAS SAFRAN & ASSOCIATES INC,(310) 820 x4888,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=15-122419&LutSiteCD=1),,2024-08-05T00:00:00.000,-118.31531,34.06877,POINT (-118.31531 34.06877)
5051006016,18-124722,PATH VILLAS MONTCLAIR/GRAMERCY(NEW-SITE 1 OF 2),In-Service,NEW CONSTRUCTION,"4220 W MONT CLAIR ST  Los Angeles, CA 90018",10,1,CRENSHAW DISTRICT,46,46,SPECIAL NEEDS,Yes,45,12/26/2019,9900000,24772630,2937000,37609630,2022,PATH Ventures,THE JOHN STEWART COMPANY,(213) 833-1860,click here (http://hcidapp.lacity.org/mpphotos/18-124722/Photo/Website/Path%20montclair.JPG),234,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=18-124722&LutSiteCD=1),C-134770,2024-08-05T00:00:00.000,-118.33232,34.03175,POINT (-118.33232 34.03175)
6074018025,19-125941,ASANTE APARTMENTS,In-Service,NEW CONSTRUCTION,"11001 S BROADWAY  Los Angeles, CA 90061",8,1,CENTURY PALMS/COVE,55,55,SPECIAL NEEDS,Yes,54,06/28/2021,10816454,11696150,5500159,28012763,2023,"Affirmed Housing Group, Inc.","SOLARI ENTERPRISES, INC.",(714) 282-2520,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),284,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=19-125941&LutSiteCD=1),C-138480,2024-08-05T00:00:00.000,-118.27853,33.93545,POINT (-118.27853 33.93545)
2532017068,11-117796,OSBORNE STREET APARTMENTS,In-Service,NEW CONSTRUCTION,"12059 W OSBORNE ST  Sylmar, CA 91331",7,1,LAKEVIEW TERRACE,60,60,FAMILY,Yes,5,03/08/2012,3805976,15063116,0,18869092,2013,"RELATED CALIFORNIA URBAN HOUSING, LLC",RELATED MANAGEMENT CO.,(949) 660-390,click here (http://hcidapp.lacity.org/mpphotos/11-117796/Photo/Website/11-117796.JPG),144,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=11-117796&LutSiteCD=1),C-120204,2024-08-05T00:00:00.000,-118.39505,34.27294,POINT (-118.39505 34.27294)
5544010027,80004,HOLLYWOOD BUNGALOW COURTS,In-Service,ACQUISITION + REHAB,"1721 N KINGSLEY DR  LOS ANGELES, CA 90027",4,1,THAI TOWN,10,42,FAMILY,Yes,0,11/20/2008,4390000,17823840,0,22213840,2010,"HOLLYWOOD COMMUNITY HOUSING CORP.,",BARKER MANAGEMENT INCORPORATED,(714) 533-3450,click here (http://hcidapp.lacity.org/mpphotos/080004/Photo/Website/CD%2014%20-%20Hollywood%20Bungalows%20-%201721%20Kingsley.jpg),104,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=080004&LutSiteCD=1),C-114816,2024-08-05T00:00:00.000,-118.30363,34.10266,POINT (-118.30363 34.10266)
5156018011,20093,ST. ANNE'S TRANSITIONAL HOUSING,In-Service,N/A,"155 N OCCIDENTAL BLVD  Los Angeles, CA 90026",13,1,HISTORIC FILIPINOTOWN,40,40,N/A,No,0,02/24/2004,2000000,8758249,0,10758249,2005,"ST. ANNE'S TRANSITIONAL HOUSING,",N/A,N/A,click here (http://hcidapp.lacity.org/mpphotos/020093/Photo/Website/CD_13_-_St._Anne's_Transitional%202.png),65,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=020093&LutSiteCD=1),C-106308,2024-08-05T00:00:00.000,-118.27894,34.0717,POINT (-118.27894 34.0717)
5046001021,15-122533,CRENSHAW GARDENS,In-Service,NEW CONSTRUCTION,"3411 S CRENSHAW BLVD  Los Angeles, CA 90016",10,1,CRENSHAW DISTRICT,49,49,FAMILY,No,0,11/30/2016,6875000,21899538,0,28774538,2018,Retirement Housing Foundation,"FOUNDATION PROPERTY MANAGEMENT, INC.",(562) 257-5100,click here (http://hcidapp.lacity.org/mpphotos/15-122533/Photo/Website/P8120404.JPG),229,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=15-122533&LutSiteCD=1),"C-126984,C-128618,C-131478",2024-08-05T00:00:00.000,-118.33529,34.02516,POINT (-118.33529 34.02516)
4305014900,15-122532,PICO ROBERTSON SENIOR COMMUNITY,In-Service,NEW CONSTRUCTION,"8866 W PICO BLVD  LOS ANGELES, CA 90035",5,1,CRESTVIEW,47,47,SENIORS,Yes,12,12/01/2017,2789400,29121194,0,31910594,2020,Mercy Housing California,MERCY HOUSING MANAGEMENT GROUP,(415) 355-7124,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),244,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=15-122532&LutSiteCD=1),C-130530,2024-08-05T00:00:00.000,-118.38521,34.05486,POINT (-118.38521 34.05486)
2629019017,40052,PALM VILLAGE SR,In-Service,NEW CONSTRUCTION,"9034 N LAUREL CANYON BLVD  Sun Valley, CA 91352",6,1,SUN VALLEY,60,60,SENIORS,No,0,10/02/2006,1772385,8934200,0,10706585,2008,Gubb and Barshay,LTSC COMMUNITY DEVELOPMENT CORPORATION,(213) 473-1689,click here (http://hcidapp.lacity.org/mpphotos/040052/Photo/Website/CD_6_-_Palm_Village_Apts[1].png),65,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=040052&LutSiteCD=1),C-110660,2024-08-05T00:00:00.000,-118.40497,34.23343,POINT (-118.40497 34.23343)
5501001800,19-126538,VOLTAIRE VILLAS (ENLIGHTENMENT PLAZA PH III),Development,NEW CONSTRUCTION,"316 N JUANITA AVE  Los Angeles, CA 90004",13,1,SILVERLAKE,72,72,SPECIAL NEEDS,Yes,71,06/30/2022,9940000,0,0,9940000,Development,Flexible PSH Solutions,THE JOHN STEWART COMPANY,(213) 787-2700,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),272,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=19-126538&LutSiteCD=1),C-140699,2024-08-05T00:00:00.000,-118.28931,34.07754,POINT (-118.28931 34.07754)
5157024002,20-127450,LOMA VERDE (FKA 405 WESTLAKE),Development,NEW CONSTRUCTION,"405 N WESTLAKE AVE  Los Angeles, CA 90026",13,1,HISTORIC FILIPINOTOWN,19,19,SPECIAL NEEDS,Yes,18,01/18/2024,2660000,0,0,2660000,Development,Holos Communities (aka Clifford Beers Housing),N/A,N/A,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=20-127450&LutSiteCD=1),C-144908,2024-08-05T00:00:00.000,-118.26652,34.07006,POINT (-118.26652 34.07006)
